id,name,phone,preferred_zones,rating_avg,max_driving_minutes_per_segment,total_cancellations
7d45adbe-75c3-4cdd-bd1c-4b311c5baaab,Driver_0016,9465341213,Mumbai|Pune|Hyderabad,3.96,270,0
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,Driver_0017,9266944844,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.78,270,0
6be0475c-e19c-4d4f-aced-f1b613d87548,Driver_0018,9919795579,Delhi|Agra|Kanpur|Lucknow,4.48,270,1
be09b6f7-4efa-4ac9-b363-71f395b927fa,Driver_0019,9209747451,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.71,270,0
c787e085-877f-4d78-a2c0-2d7e54816f5c,Driver_0020,9507943839,Chandigarh|Ludhiana|Delhi|Jaipur|Ahmedabad|Surat|Mumbai,4.36,270,0
a3a4745c-eb66-433a-b40b-557c0883d783,Driver_0021,9485451171,Chandigarh|Ludhiana|Delhi|Jaipur|Ahmedabad|Surat|Mumbai,4.29,270,0
4c8a509f-04a9-4a9e-95f2-50c885ca0979,Driver_0022,9748245888,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.24,270,0
bda819c9-5bc1-45c0-b673-47f1f8fc1da8,Driver_0023,9966647391,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.77,270,0
a2de8edd-b399-484f-8151-3a5ef1d893b0,Driver_0024,9883543540,Chandigarh|Ludhiana|Delhi|Jaipur|Ahmedabad|Surat|Mumbai,4.51,270,0
6478d1df-2c1f-4f3c-aa1e-03fde769c1f7,Driver_0025,9675770529,Mumbai|Pune|Hyderabad,4.27,270,2
8462dc55-59d5-47f4-8209-5f47c6bf99ca,Driver_0026,9506448196,Chandigarh|Ludhiana|Delhi|Jaipur|Ahmedabad|Surat|Mumbai,4.76,270,1
083714ac-54b3-4d64-bc00-704dc355b5f8,Driver_0027,9692749116,Chandigarh|Ludhiana|Delhi|Jaipur|Ahmedabad|Surat|Mumbai,4.73,270,0
ade5ec49-869b-47d3-b852-1a9ceedbe841,Driver_0028,9990566476,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,3.87,270,0
fc6966be-098b-43a6-a653-1fa3b599e23e,Driver_0029,9488302652,Kolkata|Nagpur|Mumbai,4.78,270,0
8b1e91b6-790d-4773-851a-de018a249cec,Driver_0030,9306468299,Kolkata|Nagpur|Mumbai,4.81,270,1
7a135a62-fc87-4ff4-aa59-1019fc6df31e,Driver_0031,9149203558,Chandigarh|Ludhiana|Delhi|Jaipur|Ahmedabad|Surat|Mumbai,4.09,270,0
eef8d72c-0ab6-40fa-a165-615edc5821f1,Driver_0032,9930075810,Delhi|Agra|Kanpur|Lucknow,4.53,270,1
af78bf6c-b541-45e3-93dd-9a69ae91a9ae,Driver_0033,9185675980,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.17,270,1
837cfbee-afbc-4408-b0d4-a3037b7f109f,Driver_0034,9208449460,Delhi|Agra|Kanpur|Lucknow,3.48,270,0
463a85e7-e033-4bec-a267-bfa7aa85640d,Driver_0035,9398471886,Mumbai|Pune|Hyderabad,4.69,270,0
5a546a9f-4ddf-4c19-9b83-d659726fc137,Driver_0036,9782560971,Mumbai|Pune|Hyderabad,4.43,270,0
1f148489-0bcb-4470-8354-42eed5c4f971,Driver_0037,9274648506,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.3,270,0
34b71c44-bb25-47df-85ce-03a39fc9ac10,Driver_0038,9481469012,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.32,270,0
b05b01d0-a319-4a48-8fe3-e2a08529ea69,Driver_0039,9819595113,Delhi|Agra|Kanpur|Lucknow,4.52,270,1
3fc247b8-f090-4cea-81a6-9112ffe9f796,Driver_0040,9853573823,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.33,270,0
01d788c4-9b57-4add-abf0-739f958b4aa3,Driver_0041,9754049436,Chandigarh|Ludhiana|Delhi|Jaipur|Ahmedabad|Surat|Mumbai,4.25,270,2
6d65ee0b-0d87-4816-9b43-1e74af2b76bd,Driver_0042,9673528321,Delhi|Agra|Kanpur|Lucknow,4.49,270,0
66e7f631-029c-4810-92a9-8026854edd3f,Driver_0043,9275452091,Delhi|Agra|Kanpur|Lucknow,4.51,270,1
90ef76ca-622f-43be-be2f-27f0a925941a,Driver_0044,9507437181,Mumbai|Pune|Hyderabad,4.15,270,0
f9bb1bc7-b852-4cb0-9053-42f9f3eea8bc,Driver_0045,9787194506,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.29,270,0
ca72bc65-aac8-4954-8b12-0a27325a1ce7,Driver_0046,9335809993,Kolkata|Nagpur|Mumbai,4.5,270,0
aecd6e72-018b-448f-a8dd-3e84d11fdeea,Driver_0047,9924970419,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.49,270,0
2d28751d-70ba-4487-82d5-095cea62b22f,Driver_0048,9345938494,Chandigarh|Ludhiana|Delhi|Jaipur|Ahmedabad|Surat|Mumbai,3.9,270,0
0b6812d6-5270-4d50-bba5-1cd2f77ebe2e,Driver_0049,9964411347,Chandigarh|Ludhiana|Delhi|Jaipur|Ahmedabad|Surat|Mumbai,4.25,270,0
00d3503e-ffe5-4e26-84be-9007a8a81e4c,Driver_0050,9530747414,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.34,270,0
18302a3a-1801-411a-8579-869b4ba4edff,Driver_0051,9171069472,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.54,270,1
26501679-586c-4236-a890-97e1687dc818,Driver_0052,9709004943,Delhi|Agra|Kanpur|Lucknow,4.39,270,0
f0496c8a-1f5c-4cdb-b570-7a6925cd94f7,Driver_0053,9328306011,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,3.81,270,0
b41f802e-0393-409e-935b-003cfa28c0bd,Driver_0054,9524806516,Mumbai|Pune|Hyderabad,4.44,270,0
d265c88a-1052-4bc1-b426-bc9a3e77f666,Driver_0055,9253407200,Mumbai|Pune|Hyderabad,4.25,270,0
3cb3181a-1d19-4827-b8eb-3faba1e231e3,Driver_0056,9249926919,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.57,270,0
7c1ae16d-496a-4d0f-b401-8ae3e76b86ab,Driver_0057,9899925830,Delhi|Agra|Kanpur|Lucknow,4.31,270,0
40e70bd2-0f4c-4ed4-8b62-55fce5047760,Driver_0058,9678722458,Kolkata|Nagpur|Mumbai,4.52,270,0
0eefecd2-5b8c-4f61-ae34-838b16b53659,Driver_0059,9902099969,Delhi|Agra|Indore|Nagpur|Hyderabad|Bangalore,4.4,270,1
